user_id,place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,review_photos
20,ChIJ_8E2s2f1aS4RSraUoOQTRZU,Le Petit Chef - Jakarta,ChZDSUhNMG9nS0VJQ0FnSURWdDVXV0xREAE,5,"Le Petit Chef Jakarta adalah tempat yang menghadirkan pengalaman kuliner yang tak terlupakan. Makanannya tidak hanya enak tetapi juga menawarkan variasi yang luar biasa dalam set menunya. Dari hidangan klasik hingga inovatif, setiap sajian membawa cita rasa yang menggugah selera.Penggunaan teknologi proyeksi yang memperlihatkan 'chef kecil' yang memasak di atas meja makan benar-benar menambah daya tarik unik dalam pengalaman ini. Saya sangat terkesan dengan kreativitas dan inovasi yang mereka tampilkan dalam konsep ini.Selain itu, pelayanan yang ramah dan profesional dari tim Le Petit Chef Jakarta selalu menambah kesan menyenangkan. Mereka memberikan perhatian yang sangat baik pada setiap detail dan memberikan pengalaman makan yang luar biasa.Saya sangat merekomendasikan Le Petit Chef Jakarta bagi mereka yang ingin menjelajahi sensasi baru dalam dunia kuliner. Dari hidangan lezat hingga pertunjukan visual yang menghibur, tempat ini benar-benar memenuhi seluruh ekspektasi saya!",5 bulan lalu,2023-12-18 10:35:23,,,,0,2,0,FALSE,,,[]
23,ChIJ_8E2s2f1aS4RSraUoOQTRZU,Le Petit Chef - Jakarta,ChZDSUhNMG9nS0VJQ0FnSURHa3JPckl3EAE,4,Secara rasa just ok. Disini nikmatin suasanya aja. Untuk refreshing aja dari kepenatan covid.,2 tahun lalu,2021-11-23 5:18:11,,,,2,44,146,TRUE,,,"[""https://lh5.googleusercontent.com/p/AF1QipMVCB7BDZeTjIVHsNZbXKQAGZ0xcqBsN4Emfk2q=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOu-ace9JoUj6w3w88qseI_V_aJ7ObHAloCouD9=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOSg4Fvu4hB1BRkBhQH51lpD0lReoVQs-T-XiEH=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPGIGJsjP-hIj7Rca2H__SdpWgrrV-Hj16_1vFw=w150-h150-k-no-p""]"
36,ChIJ_8E2s2f1aS4RSraUoOQTRZU,Le Petit Chef - Jakarta,ChdDSUhNMG9nS0VJQ0FnSUR5bWJUVXlRRRAB,5,Sangat nikmat,3 tahun lalu,2021-03-12 16:55:55,,,,4,45,3,FALSE,,,[]
9,ChIJ_8E2s2f1aS4RSraUoOQTRZU,Le Petit Chef - Jakarta,ChZDSUhNMG9nS0VJQ0FnSURWOTZuemV3EAE,5,"I thoroughly enjoyed the delicious variety of dishes, although the meat could have been more tender. The diverse and unique flavors added an interesting touch to the overall dining experience. Celebrating my child's birthday was truly memorable, and the 3D experience left my child extremely happy.",5 bulan lalu,2023-12-18 13:39:05,,,,1,2,1,FALSE,"Saya sangat menikmati variasi hidangan yang lezat, meski dagingnya bisa lebih empuk. Citarasanya yang beragam dan unik menambah sentuhan menarik pada pengalaman bersantap secara keseluruhan. Merayakan ulang tahun anak saya sungguh berkesan, dan pengalaman 3D membuat anak saya sangat bahagia.",,"[""https://lh5.googleusercontent.com/p/AF1QipOL6qDvlX4VfnVc9C6K2f2sQdcRCiyhIZGh-nJv=w150-h150-k-no-p""]"
3,ChIJ_8E2s2f1aS4RSraUoOQTRZU,Le Petit Chef - Jakarta,ChdDSUhNMG9nS0VJQ0FnSURWOTl1SjJBRRAB,5,"The food is tasty..the experience its magical. Tbh, it's our 3rd times already. We celebrate  our daughter birthday and our anniversary for this occasion. What a wonderful dinner experience. Esp when u look at your daughter face. Money well spent. As a top 1% world google reviewer, i recommended this is a must try!",5 bulan lalu,2023-12-18 14:30:31,,,,0,1213,1118,TRUE,"Makanannya enak..pengalamannya ajaib. Ya ampun, ini sudah yang ke 3 kalinya bagi kami. Kami merayakan ulang tahun putri kami dan hari jadi kami untuk kesempatan ini. Sungguh pengalaman makan malam yang luar biasa. Terutama ketika kamu melihat wajah putrimu. Uang dibelanjakan dengan baik. Sebagai 1% pengulas Google teratas dunia, saya merekomendasikan ini wajib dicoba!",,"[""https://lh5.googleusercontent.com/p/AF1QipND2Q4CXuyZ7hqoXBx4HIOuvlYiY87ncI-PLttx=w150-h150-k-no-p""]"
42,ChIJ_8E2s2f1aS4RSraUoOQTRZU,Le Petit Chef - Jakarta,ChdDSUhNMG9nS0VJQ0FnSURWajhUMHFBRRAB,5,Been there twice at hyatt Jakarta for Marcopolo edition and the others one 1 forget what I remembered was we created our own desert.,5 bulan lalu,2023-12-18 15:21:03,,,,1,3,8,FALSE,Berada di sana dua kali di hyatt Jakarta untuk edisi Marcopolo dan yang lainnya saya lupa apa yang saya ingat adalah kami menciptakan gurun kami sendiri.,,"[""https://lh5.googleusercontent.com/p/AF1QipOlQnPdZMxZB0ZwMf5Y9NW6QNaY5lrVFk6xX5LH=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPM4lb4XucgiWhgJaHJZJPfSYr9N2gpkkTdEnwM=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNlVsenTKWPyLm_KB77cm-RYw5cpxZSazzdSY7m=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNeHtACV1JanhAlCECCJTkh50Q2dbiow9iJ7NJU=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPf29Jbn3lBkqM86ukIw9lIE7DvunhEIeXwRma2=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMhOk-9f5FNBJsgYdZvdmjD8w_HZI1C7PA9Q_fU=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMVzg4eJ4wx4xaIXqt-UMRCViymChMTj6vUcay7=w150-h150-k-no-p""]"
50,ChIJ_8E2s2f1aS4RSraUoOQTRZU,Le Petit Chef - Jakarta,ChdDSUhNMG9nS0VJQ0FnSUQ2emZUVWlRRRAB,3,"Extraordinary service and staffs, but sorry to say this was the worst fine dining experience I've ever had in terms of food taste and menus and cooking difficulties! For their price I really2 think the food and taste were really underpar
For me the worst one was the dessert, really lack of flavour and balance, if only the raspberry sauce had more acidity it would made a whole lot of difference
The 3d projected movie was great, but still for me as a fine dining restaurant the highlight had to be the food",2 tahun lalu,2021-10-07 12:53:06,,,,16,14,47,FALSE,"Layanan dan staf yang luar biasa, tapi maaf untuk mengatakan ini adalah pengalaman bersantap terburuk yang pernah saya alami dalam hal rasa makanan, menu, dan kesulitan memasak! Untuk harganya, menurutku makanan dan rasanya benar-benar di bawah standar
Bagi saya yang terburuk adalah makanan penutup, benar-benar kurang rasa dan keseimbangan, kalau saja saus raspberry lebih asam itu akan membuat banyak perbedaan
Film yang diproyeksikan 3d sangat bagus, tetapi bagi saya sebagai restoran mewah, hal yang paling penting adalah makanannya",,"[""https://lh5.googleusercontent.com/p/AF1QipMKkDKxZCGwofQIP5UYLJP33_fNGF89iUOvHFMj=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN-OZmpxiMmmVuBdfEhdrkO4-RJShB8QXatr9_L=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP7Pu4BUwkxkYZMRQlj5xNMtSYbGyYk1b7VS0UZ=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPNU8oLrUgnZBqar40oyEQYgn9tVXnFj85cPZS3=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMuJOiwWu_opQmmt_iPlzQrw3DBD585FzHNvG0v=w150-h150-k-no-p""]"
47,ChIJ_8E2s2f1aS4RSraUoOQTRZU,Le Petit Chef - Jakarta,ChZDSUhNMG9nS0VJQ0FnSURHNE9xTkFREAE,4,"This is the second attempt to try this famous dinner package, the first one canceled cause of the covid 19 situation.

We book the venue for 12 pax, 8 pax in a private room and 4 pax sitting with other guests.

They only provide 1 table for 4 pax and 1 long table for 8 pax, total maybe for 40 pax.

Sound and Video Projection is really chrisp. The music is not to loud, so we can still talk and listen to the show.

Food is really yummy but we have try some michelin star restaurant around the world, compared to this set menu with foie gras, black truffles and caviar can't compete with them.

This is 5 course meal and you also can order some bottle of wine, champange or something else.

Service was good and accomodative.

Spending a good evening with family and close friends.",2 tahun lalu,2021-11-15 11:24:55,,,,3,1156,14184,TRUE,"Ini adalah upaya kedua untuk mencoba paket makan malam terkenal ini, yang pertama dibatalkan karena situasi covid 19.

Kami memesan tempat untuk 12 orang, 8 orang di kamar pribadi dan 4 orang duduk bersama tamu lain.

Mereka hanya menyediakan 1 meja untuk 4 orang dan 1 meja panjang untuk 8 orang, totalnya mungkin untuk 40 orang.

Proyeksi Suara dan Video benar-benar tajam. Musiknya tidak terlalu keras, jadi kami masih bisa ngobrol dan mendengarkan pertunjukannya.

Makanannya benar-benar enak tetapi kami telah mencoba beberapa restoran bintang michelin di seluruh dunia, dibandingkan dengan set menu dengan foie gras, truffle hitam, dan kaviar tidak dapat bersaing dengan mereka.

Ini adalah 5 hidangan dan Anda juga dapat memesan sebotol anggur, sampanye, atau yang lainnya.

Pelayanannya baik dan akomodatif.

Menghabiskan malam yang menyenangkan bersama keluarga dan teman dekat.",,"[""https://lh5.googleusercontent.com/p/AF1QipNzNCdSL5AWifwAv7IWPvHfehV_7laJuLQOPCKr=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMW0b6qOM94VnSdp5QFviMkPptOhmS2hWK6XxY-=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPU9bPfdyjCRlCtRuSv6GWWADFZRWYJDuhCSW39=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMDWJM8z65yGfARmhPfMVKi5SJ8s-bgtUXrmkAX=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN8E4hUd97SoHf3hUOHuKNulxRW5YGOyj_p5GLh=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNO56OmY37CZAnIi0bYNazKJu2rX4krFSzCG_yo=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPLTtBzA45JEaVKf7GTtazms8cwGNAlwZqCLQpV=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPguWbwn1Cj6pgk1UNh428u_-GEsaUVfqAStui-=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMUunQUD7SJq6v5VKW6s_3LeKTt9A6xKoQKN-fD=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP5VM3I-TpGVB4SgidE9ZLm7V2FVh4iPJns3EXe=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOoYaDttKipc8fGESwbjwLIF6yoj8PPmnaQEARI=w150-h150-k-no-p""]"
8,ChIJTwTtG9P1aS4RTBuC8A4MTBA,Paulaner Brauhaus,ChZDSUhNMG9nS0VJQ0FnSUQ5amRpMEhBEAE,5,"Banyak pilihan beer dikasih tester dulu 3 mcm, dr yg paling light...tp jujurly nothing special...ky beer pada umumnya aja...klo mixed beer yg plg enak mnrtku mango, ke 2 leci, baru yg coke campur vanilla.. Dikasih pilihan size jg dari 0,3 L; 0,5 L; smp 1 L terkencing2 deh abis itu.. Makanan kita cobain yg platter dari isi pork knuckle smp beragam sosis enak2 sih, trus pork ribs ny juga enak, pokoknya makanan ga ad yg fail sih yg kmrn kita pesen.. Trus bisa install K-privilege app bwt jd member dpt voucher 200k, mayan..",2 bulan lalu,2024-03-19 17:07:20,,,,1,265,1306,TRUE,,,"[""https://lh5.googleusercontent.com/p/AF1QipNxLcBC45Ds8jpmvNPj4iP8ojDcyhuR-kPGF8T2=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP2i7K8V8Gu8VqTGmxeuHD99PeZh4FGKCjV-rV9=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMQysvAPR_0bGdeWSx3wCxFqUaBNgCWhOxq6UlE=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNRDB4UdU3-B31Vxzm51Jhh7UhzMT_OvYjxr-hQ=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOOghy9gs8nFKgijNNf66JVmtnaqKy1yQoW392b=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOoWcmyXOiNp6fKuHfzukaGOH0SKnd4su-Qt4HY=w150-h150-k-no-p""]"
41,ChIJTwTtG9P1aS4RTBuC8A4MTBA,Paulaner Brauhaus,ChdDSUhNMG9nS0VJQ0FnSUNkLUw2MHJRRRAB,5,"Ini kedua kalinya datang kesini. Buat yang mau ngebir, birnya enakk  memang ga bisa diragukan kalo bir jerman. Makanannya juga ga kalah enak tapi non Halal ya.

1. Crispy Pork Belly 
- paling enak sih ini, porknya juicy lembut, ga bau dan kulitnya crispy. The best deh
2. Chicken Jaegerschnitzel 
- sebelum ini aku pernah makan yang porknya dan porknya lebih enak daripada chicken. Rasanya jadi mirip chicken katsu tapi pake gravy.
3. Mushroom Soup 
- ya mushroom soupnya oke sih tapi masih ada yang lebih enak dari ini, soupnya terlalu jamur pol jadi bau earthy banget

Reminder aja porsi makanannya raksasa jadi buat yang makannya dikit hati-hati",3 bulan lalu,2024-02-11 16:23:03,,,,0,21,29,TRUE,,,"[""https://lh5.googleusercontent.com/p/AF1QipO1AoUexHl-nUnL8a3MQLqdofviJbLV0U7V8hYK=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPjfrr4aYEvkaEt52D7JetA64_A4XOT9KZz8bSt=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNa8csDVUKQNjxlVRIAKRqt7h-7ttH0O6Bx-DdR=w150-h150-k-no-p""]"
