place_id,name,description,is_spending_on_ads,reviews,competitors,website,can_claim,emails,phones,linkedin,twitter,facebook,youtube,instagram,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJTwTtG9P1aS4RTBuC8A4MTBA,Paulaner Brauhaus,*e*to****Jerm*n ***M*l*Gr*nd In*****i**d*n*** s*esia*is****bi*.**e**ed** ****nan h***l.,False,6825,"Name: ***i*l*H*u***Gra***In*o*esia
Link: *t**s:**w*w.*o***e.co*/*ap*/***r*h*Soc**l*H****+Gr*n*+I*d*****a*@-**19690*7**0*.822***4*au**us*r=****=i**e*t**=*tu
Reviews: 3719 reviews

Name: D*e***ub*
Link: ht*ps://www***o*l******maps*se***h/**e*St*b**@-6*2557914****.*0*****?*u*h***r*0**l**d*e*tr****u
Reviews: 2088 reviews

Name: Cl*** **u*ge*Ja****a *R*o**op)
Link: ht*ps:/*www.goo******m/m*ps/*ear*h*Cl*****o*n*e+****rt**%2*R**ftop*2*/******2*8*7*9*****9,***.***7*11**9**99**u*hus**=*&hl=**&en****t*u
Reviews: 1023 reviews

Name: B**tro*Bar*n*& **r*Pl*** I*d****i*
Link: h**ps://ww*.*oo****c**/m**s*s**rch/Bi**ro**aro*+***+B****la**+I*d***s**/@*6*19**7**1**.*22***1?**t*us***0**l**d*entry**t*
Reviews: 498 reviews",*tt**://w*w****pi*ski*c*m/en/h*t***i*******a**esta***nt**b*r**paulan**-b***uhau**u***m*d*u****g*nic&utm**o***e=*o**l***tm*cam*aig*****K***ut*_c*nt*****mb-re*taura******r*e=***8*62**8,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Pa**a*er B*au********m*li*),***p**/*www****gl*.c*m/m*p**contri**1*70*1****6***7*0**39,*t*ps:/***5**oogleus**con*e**.co***/*F*Q*pO**e**61***6**l**_****wZ**K1*d**g****B*w426*h****k-no,Restoran Jerman,"Restoran Jerman, Brewpub",4.6,**.30***.0*,*pe***ll*D*y*,(0*****3*83*71,"Jl. MH Thamrin No.1, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","ba**, *unk**, s*o*i*g***ea, p**k be***, ha***, am****t, ma**, **m*ua*a**bi*, bi* m****a, l**he*",https://www.google.com/maps/place/Paulaner+Br%C3%A4uhaus/data=!4m7!3m6!1s0x2e69f5d31bed044f:0x104c0c0ef0821b4c!8m2!3d-6.1964302!4d106.8225851!16s%2Fg%2F1tq_yygq!19sChIJTwTtG9P1aS4RTBuC8A4MTBA?authuser=0&hl=id&rclk=1
ChIJM-uT5yH0aS4RJb8FLs-zz4Y,SKYE Bar & Restaurant,***or **k**t*** *i*e*t *ea** whil* **joyi*g*****tht**i*****e** *t *k****** pr***se **un**ue*****ng e*peri*n*e*w*t***u* **pe**l***r*fte* ****k*. **n't**iss***r *oo*t*p*ba******er*n* ***nn*n* *n*ini*y*v*ew* **d*hand*raft*d co**t*il*.,False,5645,"Name: C*oud L*un*e*J***r** *Ro****p*
Link: **tp**/**w***oo***.**m/maps/s*a***/*****+***n*e+Jakart*+***Roo*t*p***/*-*.1*27**7*9****99*10***22*71199*9**9*au*h**e****h*=*d&e*try***u
Reviews: 1023 reviews

Name: **y**oft
Link: h**p**/*ww*.*oogle.com**a**/******/Sk******/*-6.2014****0*00***,10*.**21**5****0**?****us*r**&*l=**&en*r*=ttu
Reviews: 80 reviews

Name: *ky**o* B*r * **f*
Link: h**p**/*ww**go**l***om/**p*****r*h*Sk**o*l*Bar*%**+C***/@**.*9*4***,*06.***377*9****99**uthus*r*0*hl*id*entry**t*
Reviews: 19 reviews",*t*ps***w*w.*****a*com/**t-*ri*k*sk**,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,S*YE**ar*& Re**au***t*(**m***k*,h*tp****w***g*og*e.***/ma*s/c*ntr*b*11******0**79859**4**,*ttp*****h5.g***leu**r*on**nt.com**/*F1Q****KF***QpN*****tP*W*J*N*rt2vp1N*5******w4*8-****-*-**,Restoran,"Restoran, Bar",4.6,*7*0*-**.0*,O**n***l *ay*,(*21******6996,"BCA Tower Lt. 56, Jl. M.H. Thamrin No. 1, RT.001 / RW.005, Menteng, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350","ro***o*, **ns*t, *o***tis, *ou*h**, li**, the**i**, k****ggia*, *e*a**a*ga* *al**, *up**, b*n**n***ti**gi",https://www.google.com/maps/place/SKYE+Bar+%26+Restaurant/data=!4m7!3m6!1s0x2e69f421e793eb33:0x86cfb3cf2e05bf25!8m2!3d-6.196728!4d106.822582!16s%2Fg%2F11g_lghvp!19sChIJM-uT5yH0aS4RJb8FLs-zz4Y?authuser=0&hl=id&rclk=1
ChIJ7eBosjv0aS4RfpIv1feiios,Tugu Kuntskring Palais Jakarta,"*h* g*an**h******c*****i**i*g **i*ina**y hou*ed**he **n**A**s**i**********e Dut*h****t I***** a*d***s ***ned *n**** 17 *p**l 1**4**f*a*ur**g v**i*us c****i** *r***b*tw**n*1*34 *** 1939 *s******** worl*-**a****ast****ece**o***in*e*t*van G*gh**P*b*o*P****so,*P*u* Gaug*in, *arc*Cha*a****nd *he lik*s. *** of*t** *in***** *h******ld*n* al*o ****** * *e*y*p*pu*a* c*f* t*a****l**fin**f*od **d w*ne* **********t***e**We*n*s***T*e **gu**un*tk*in* *a*e***is**o**a *r*ud c**t*r *f art ex*i*i*i**s,*****e*l a* **h** ***n****it***i*h***p*eci****n*to*t** be*uty*of**rts **d*h***or*.*It*als*************rge eve*t spa***wit**th* ca**c*t**up to *0*0 *e*p******gal*e*y/s*op*th*t f*ature*****ut*fu* artwor*s* j**e*****i*es*yl* p*oducts**n**o*h*r ****gn*i*e*s* **f**e",False,5123,"Name: P*ula**r*B*a****s
Link: ****s*//*******gl**com/ma***sea****Pa******+*r%C**A*uh****@-6**96***2*106.*22*851?*u*h*ser=0*hl*id**n*ry=***
Reviews: 6824 reviews

Name: P*ata**n *****ng
Link: *tt*****ww***oogle*com*maps/s**rch**lat**a**M*n*en****6***19***99*9*999**06.****8****ut***er**&*l*i*&en**y**tu
Reviews: 4985 reviews

Name: Ka*m*J*k*r**
Link: https:/**w*******e******ap*/s*arch/K*u**Ja*a*ta/@***1*7956*99*9****5,*0**8**23******huser****l**d*entry****
Reviews: 4401 reviews

Name: Social**ous***r**d**nd*n****
Link: ***p**//****goog****om/**p***e*r**/So***l***u*e+G****+I**one**a/**6*196*07**10*.822***4*a*th***r=0&hl*i**e*tr**ttu
Reviews: 3719 reviews

Name: **ngar***a*
Link: htt*****w*w.go*gle.***/m**s***a*ch/*u*g*****ai**-6****50*9***6*837**26?a****s*r**&h*=**&ent*y=**u
Reviews: 1336 reviews",**t****www*tug**o*els.**m*,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,*******nt*k**n****lais*Ja*arta**Pe*ili*),*t*ps**/***.***gle.c**/*ap****nt***/**2*4137*1*76**86*83*,ht*ps*//lh*.**og**u**r**nte**.**m*p/***Qip*s***B1***J*****s*_***-dG***VTjjE8W1_z*w**8***7**k-**,Restoran Indonesia,"Restoran Indonesia, Galeri Seni, Restoran, Tujuan Wisata",4.6,*1.0*****00,O*** Al***a*s,(*2*) *****99,"Jalan Teuku Umar.1, Jl. Teuku Umar No.1, RT.1/RW.1, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350","*eja***, di***r, *in* d***n*, *t*osp*e**, *u*i**n, *a**ri s***, *o**n*al, **ma*t*s, *a*, *a**ra*",https://www.google.com/maps/place/Tugu+Kuntskring+Palais+Jakarta/data=!4m7!3m6!1s0x2e69f43bb268e0ed:0x8b8aa2f7d52f927e!8m2!3d-6.1888649!4d106.8334301!16s%2Fm%2F0q3zqth!19sChIJ7eBosjv0aS4RfpIv1feiios?authuser=0&hl=id&rclk=1
ChIJ91EGWSP0aS4R2FsHVktCgwk,Plataran Menteng,Pl****a* **n*eng*i* **e pla*e ** *** a***** seen f***Jakar*a****os* di******** ****r** as we****s*a m***-vi*i* *o* to*****s*s**yi*g*in *n***f*th* ma** su*r*u****g**ive-***r*h*te*s,False,4996,"Name: S*ri** R*s* Me*****
Link: ***ps:*/ww*.*o**le*****ma*s/**arc*/Se**bu**asa*M**teng*@-6*1*5*****9*9***95*1***8***3*4**99*9****thu*e**0**l*i***ntry=tt*
Reviews: 5750 reviews

Name: K*um J**a***
Link: h***s*/**w***o**le*com****s*se**c*/K**m+***arta/@-6*197*5****999*99*,*****2423*8?a**hus*********d*entr*=t**
Reviews: 4401 reviews

Name: La*a*D*o**g*a**
Link: h*tp*://*ww*goo*l***o**m*p*/sea*c*/*a*a+**on*gra*g*@-**1*4****,*0*.***36**?a*****er=0***=**&*****=t*u
Reviews: 3905 reviews

Name: Bu*ga****a*
Link: **tps*/*****g*ogle*co*/**ps/*ear**/***ga**m*a*/**6.***5*69,10*.***3**6*a*t**ser*0&**=id**n****tt*
Reviews: 1336 reviews

Name: M*d*me*D***m*
Link: **t****/*ww.*o*g*e*co*/m***/***r*h***d****D*l**a/*-**188***4*0*0000*,106**361***?aut*u****0&h*=i*&*n*ry*t*u
Reviews: 782 reviews",h**ps:*/ww*.pla*a****com/p*a*a******n****,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,*l*tar*n**e***** (*e*i*ik),h*tp**/*w*w.*o*g***c*m/*******ntr**/1*9007***734*9**6*4*8,*t***:**lh5.g*og*eus*rc****nt.co*/*/*F*Q***3b*ehbc**ee**j**3**rm*******Y**w*W*w**w*08-h25**k***,Restoran Indonesia,"Restoran Indonesia, Restoran",4.7,1***0-22***,O*** All*D***,(02***29*2**7*,"Jl. HOS. Cokroaminoto No.42 6, RT.6/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350","di***r, m*e*i**, **ne d**i**, *t*o*ph*r*, v*l**, te*or*a***, pe**s**n, ko***ia*, **na*e*, a*s**e*t*r",https://www.google.com/maps/place/Plataran+Menteng/data=!4m7!3m6!1s0x2e69f423590651f7:0x983424b56075bd8!8m2!3d-6.1919015!4d106.8285812!16s%2Fg%2F11c5sw4rnx!19sChIJ91EGWSP0aS4R2FsHVktCgwk?authuser=0&hl=id&rclk=1
ChIJTWtJeiH0aS4RY6h3u6ESq9Q,Sana Sini Restaurant,*em**t ***an*b***ons*p*pr*s*a*an *an**meny**ika*********opa d***A*i** s*****kole**i *ine *ar***i***e*a*,False,4642,"Name: S***o
Link: *tt**:****w*****le**om/m****sea*ch/S*too*@*6*2**7*2***06****524**99**99*au******=0*hl*id&entry**t*
Reviews: 3588 reviews

Name: S***onal****t** *t*The***st*n Jak****
Link: ****s:**w**.go*g*e***m/m*ps*s**r***S****nal*Tastes+*t*The****t*n******ta*@****23**6*99**9999,1*****3*1***99*999****huser=0*h***d**ntry=tt*
Reviews: 1771 reviews

Name: S*g*at*res****t*u**n*
Link: **tp*://****g*o****c*m*m*ps/**ar*h**ig***ures*R*s*aur**t**-**1955*17**06*82*9********99?aut*u******h*=i*&ent*y=t**
Reviews: 777 reviews

Name: *in*a*o*
Link: h**p*://w*w.go***e.*om***p**s*arch*Ci*na**n*@***19*0*3**1***8***9*1*a**hus*r=**h*=i**en***=*t*
Reviews: 253 reviews

Name: Re**or****i*st*
Link: https*/*www.go****.c*m*m**s/s*a**h****toran**ies*a/*-*.18*6*5**1**.8***1***99***9****huse*********&**tr*=tt*
Reviews: 79 reviews",*ttp:/**w*.p****a*j*k**t**ndo*esia**om**e*t*u****s*an**bars**ana*s****,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Sa** Si*i*******r*nt*(P*mili**,htt*s*//**w.go***e.co*/*a***cont***/**1*64***4*382*******,*t****//lh5**o***eus***o*te*t.c*******1**p***Xryg**gu**B*3***Ho*MB*k3rJt**08Mg**=*408*h*4*-**n*,Restoran Prasmanan,"Restoran Prasmanan, Restoran China, Restoran Indonesia, Restoran Jepang, Restoran Masakan Barat",4.8,*6*00-***0*,O*e* Al*****s,***1**39*644*,"Pullman Jakarta Indonesia (Lobby Level, Jl. M.H. Thamrin No.59, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350","*a****n indo****a, *a*e, s***im*, br***h, *i* *u*, we****n **od, mak****er***a, l**st**, *e*a*, **ka*pu**a",https://www.google.com/maps/place/Sana+Sini+Restaurant/data=!4m7!3m6!1s0x2e69f4217a496b4d:0xd4ab12a1bb77a863!8m2!3d-6.1938085!4d106.8234035!16s%2Fg%2F1q62hchpg!19sChIJTWtJeiH0aS4RY6h3u6ESq9Q?authuser=0&hl=id&rclk=1
ChIJaYYdtBj0aS4R7aoVQjeIQps,Kaum Jakarta,The****gship**ocati****f*P*t**o*H*** F*mil*'s*Ind*n*sian di**n* con*e*t***** and h*m* ***dive**e*a*d**r**i*** *ndo*****n**ult***l*********i**,False,4412,"Name: S***bu **** **nten*
Link: h*tp**/*w*w*goog*e**o**m*ps*s****h**e**bu*Ras*+*e***n**@-6.****013***9**9*5*10*.825**94*9999***a**h*ser*0***=id&e**r*****
Reviews: 5750 reviews

Name: ****aran*Me***ng
Link: *ttp****ww*.****le*c*m*m*ps/s*ar***Pla*ara*+*e*t****@**.*919014**99*99**106**28*8**?***h*s*r=0**l=****n*r****u
Reviews: 4985 reviews

Name: ***um**a*is
Link: ht*p*:***ww.go**l**com/m**s*s*a**h/H**u*+Manis*@-6***7****0*.*1*884***9**9***uth*se*=****=*d*en*r*****
Reviews: 1867 reviews

Name: Mu*ik***s*or**
Link: *tt*s**/w**.google**o*/**p*/s*arc**Mun*k*R**t*r*n/***.2***67*,1*****7***6*0000*1?***h***r=*&***i*&e***y**tu
Reviews: 1832 reviews

Name: C*****emp*h**E*TO
Link: h*tps*//ww*.*oogl*.co*/***s/search**a**+R****h+R****/*-*****92*3,**6.****4*1*999****a*t******0&h**i****t*y=t*u
Reviews: 471 reviews",h*tp*:*/ww*.**u*.*****akar***,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Kau* J**a**a*(***ili**,htt*s://*ww*****l*.com/m*p*/c**********7**80***0*04*644**,ht******lh*.**og*eu***co*tent*c*m***AF1**p***zp***w*5**H***la*2*ApT*f9*A**K**fo0*w*0*-*2*2-k*n*,Restoran Indonesia,"Restoran Indonesia, Bar Minuman Koktail, Bar Dengan Pentas Musik",4.6,**.0*-*2**0,*****All *ay*,***3-8***-52*6,"Jl. Dr. Kusuma Atmaja No.77, RT.10/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","co**t*i*, a***s**ere, *e***rt, **t**ior, *mb***t, an**u*, **** gej**t, ke****** *oka, b**u* s**su*, **we*i",https://www.google.com/maps/place/Kaum+Jakarta/data=!4m7!3m6!1s0x2e69f418b41d8669:0x9b4288374215aaed!8m2!3d-6.1979566!4d106.8242368!16s%2Fg%2F11g88b9lww!19sChIJaYYdtBj0aS4R7aoVQjeIQps?authuser=0&hl=id&rclk=1
ChIJgwj8-An0aS4RY7gzwS8hLM8,Bluegrass Bar & Grill,***ri*an g*il***esta*r*nt*****b***wi******e** *o*nt*y*co*cept,False,4345,"Name: *o**y
Link: *tt*s:/*w*w*go*gl**c**/**p*/**ar**/*oewy/*-6*2***1*6,1**.*2**53*9*******a****s*r*0&hl*id*entr***t*
Reviews: 2931 reviews

Name: *i***a*'* -***s**l Di*in*
Link: **tp****w*w**oo*l*.*om*m**s/*ear**/***l*am*2****+C**u**+*ini**/@***230****999*99*9,*0**80*5237?au***s*r=****=id*ent****t*
Reviews: 1546 reviews

Name: *Bo**y*o*d * *nd*** **s*au***t & *a*
Link: h**p*:**ww***o*gle*com*****/s****h*D*oll**o***-+*n***n*****au**nt+%26+*ar*@**.22118****06.8328*28?aut***e******=*d*e****=tt*
Reviews: 385 reviews

Name: *ar**y*A*d*H*p*
Link: *tt*s**/*ww*go*gl**com***ps**ea*ch*B*r****An**H*p*/**6**18*297*9*9**9**10*.8*****6*0*000*?a*th**e**0*hl*id&e**r*=***
Reviews: 0 reviews",**t***//i*stagr*m*********gras**akar*a,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Bl****as******* Gr*l* (Pem**ik*,*tt***/*w*w.**o*****om/*a****on***b/10443**977*94***41**6,**t****/l*5.*oog***se*c*n*ent.*****/**1Qi*Mr**Ho**O2**QiRTI**ZF****kh0L**2W**eV**w*0****44-***o,Restoran Masakan Barat,"Restoran Masakan Barat, Bar",4.7,1**00-****0,Min***,*021* **9***60,"Bakrie Tower, Jl. H. R. Rasuna Said Lt. G, Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940","*e**in*, **b*en*, *nt*ri**, ko*s**, s*n*a*, p*rk*r***, **nd, ***kin*, mak***b**s**a, *t*a* *a**u*g*n",https://www.google.com/maps/place/Bluegrass+Bar+%26+Grill/data=!4m7!3m6!1s0x2e69f409f8fc0883:0xcf2c212fc133b863!8m2!3d-6.2193093!4d106.8344011!16s%2Fg%2F11g_r9y1q!19sChIJgwj8-An0aS4RY7gzwS8hLM8?authuser=0&hl=id&rclk=1
ChIJZ3XYYj70aS4RyDFzTQx4BFY,Lara Djonggrang,"*h* a****n*i**Ind**es*an c*is*n**of *****D*O**G**** h*s b**n***spi*e**b***** roya* jou*n*ys *hrou*h*t*e **g*ons duri*g t*e *i*** ** th* K**g H*y*m **ru*,***o*he*d***e***ig***f*the****g*om*of***japahi* ***t*e****i***ng of*t*e**4** c***u*y.***ar***jo*g*r*n*****en*, b*e***d*wi** *h***y*ti*a*,****a******t*o*p***e**we h***ly*p**s**t*to*r****d th***ow***y* worl** to *r*n* b**k*to **f***a** ** *ride **rs*l**s*w*** *** u**a*al*eled*beau** ***an**ent**n***esia*s **st*ry*",False,3903,"Name: *e**b* R*s* M**t*n*
Link: h**ps:*****.****le***m/maps**ear*h**e*ibu+Rasa*Me*t***/**6*1*55*1*99*999995*1***8****9**9999**?*ut****r*0&******e****=tt*
Reviews: 5750 reviews

Name: *la*ara* *en****
Link: **t*s*//*ww.go**l**c**/maps**earc*/**at********t***/@-**1*19*1**9*9999**1*6**285***?***hus****&**=id&*n*ry=*t*
Reviews: 4985 reviews

Name: Ka*m**ak***a
Link: *t*p*://**w*g*o*l*.*om/*aps*s*arc*****m+J**a*****-***979***9**9****5,106.8***3****u***ser*0&**=i*&entry***u
Reviews: 4401 reviews

Name: H**** Ma*i*
Link: ****s***ww*.goo*l*.*o*/m**s***a***/H**u****nis/**6**07*3*106.8****449*999*9**u*h*s**=***l=i*&en*r*=t*u
Reviews: 1867 reviews

Name: ***a*e**elim*
Link: ****s*/*www*goo*le.co*/***s*s*ar**/**d**e****im*******8*2494*****001,106*836*64*?aut*us*r****l**d***tr*=**u
Reviews: 782 reviews",h*t***********u*o*el*.*om*r*s**u*ant*/j**ar*a*lar*dj*ngg*an**,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,La*a**jon***a*g*(**m*l**),https**/*w*.go*g****om***ps/c*n*ri****9*0*1**85***8*14***,h*tp*:*/*h*.*o*g*eus*r*ont*n*.c***p/A**Q***6*m1cq***w***i**J*6c**Ht**HfqD*Q**Oi*=******2***k*no,Restoran Indonesia,"Restoran Indonesia, Restoran Sate",4.7,***00-*3.**,O**n *** D*y*,*81**9*08-***,"Jl. Teuku Cik Ditiro No.4, RT.3/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350","*nt*r**r, tra***io***, at*o*ph***, s*j***h, a*t**, *at**g, b**aya**nd*n**i*, fi***din***, *er*ja**, wi**",https://www.google.com/maps/place/Lara+Djonggrang/data=!4m7!3m6!1s0x2e69f43e62d87567:0x5604780c4d7331c8!8m2!3d-6.1941635!4d106.8363661!16s%2Fg%2F1yh5tbbrt!19sChIJZ3XYYj70aS4RyDFzTQx4BFY?authuser=0&hl=id&rclk=1
ChIJgWKDuiH0aS4RpXOh9dwgKmU,Social House Grand Indonesia,"*e*co*e to *oci*l**o*se*J**ar*a, a**e*quis*te r*s********b**th**I*ma*a*****p* Nest*e* ** *** hea** o***h* c*t*, S***a* *ouse ***ers a****a*******g v*ew*****u*de**n **,*o****f **k**ta'***o*t *co*ic*land*a*ks* Th*s **br****v**ue*bl**d* s***n*n******e*y *i** **w*rm*and***vit*n****s**n****e***** a***m*i*n***w*e** gu***s**e*l*ins*a**** *t ho*e.*****l** i***levated****fo*t*fo*d *h***de*ig*ts**h***al*t***c*mp*ement*d*b******t*c*lo*s*y*c*ra*** *e*e**ion**f*wi**s* in***ati** coc****l*,**** a**efi*******r*****rogra** Whet*er*y*u*re h**e*f*r ****s**l ****ch* * bus*n*s* lun*h* or *n ev*n**g o****Soc*a**H*u*e**romi**s a* unf***et****e *xperi***e ***h*its *erf**t fu*i** o* comfor** fl*******nd*p**t*r**q****urr*****n*s.",False,3721,"Name: P*****er *r***aus
Link: h*t******ww.go***e**om****s/se**c*/P**l*ner*Br****A*****s*@-*.1*64302,106.***5**1*a***u**r*0&***id&*n**y=tt*
Reviews: 6820 reviews

Name: Ser*b* R******n*e*g
Link: h*tp*:**w***go*********maps*s*arc*/***i*u**asa*M*n*e*g/*-6.1*550**99*9**9****06*82**3***999999?*****s*r=0&h*=*d***t*y***u
Reviews: 5750 reviews

Name: M**l* A***O*k
Link: ht*ps***www.**o***.c*m/ma**/***r*h/Ma*l**A*d**a*/*-6*1*804**,****82*******u*h*se**0*h*=*d&e**r*=tt*
Reviews: 1270 reviews

Name: ***y**g*n*Jap**e*e*R**taura**
Link: ****s***w*w**o**le*co****p*/sear*h/K**y*ng***Japa*e*e**es*a**ant**-*.19*****,10**82*5**4?*uth**e**0&***id****ry=*tu
Reviews: 261 reviews

Name: P***e Angu***ouse ***** ***one***
Link: ht*****/****g*og**.**m*ma*s/***r**/Pr*me+Ang*s+Hou*e+P**z*+*nd*nes*a/*-**1**3*269**99**9,*06**********u*h*s*r*0********ntr*=ttu
Reviews: 127 reviews",http*:**ww**is*aya*******t-dri*k/******-h**s*,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Soci*****use G**nd*I*do**s** (*****ik*,**tps**/*ww.*o*gle.***/m*ps*c****i***02**3**40***1*1203**,**tps:*/*h*.****leus***o***nt.c*m*p*AF1*ip*****z**hTsPTGf*p*d**YI******c*D4**BBl***0*-***1-k**o,Restoran,"Restoran, Lounge, Bar Minuman Anggur, Toko Minuman Anggur",4.6,11*0*-*3***,O**n*Al****ys,*0*1**23*8**18,"Jalan M.H. Thamrin No. 1, RT.1/RW.5 No.1, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","**ne, ***t*ng, k*n**r, **b**nt, ***ki** a*ea, *ag**, *o*gs**g, r**a**ic, f*s*o*, ***d***n hi",https://www.google.com/maps/place/Social+House+Grand+Indonesia/data=!4m7!3m6!1s0x2e69f421ba836281:0x652a20dcf5a173a5!8m2!3d-6.1969077!4d106.8226084!16s%2Fg%2F1hf3_fq3w!19sChIJgWKDuiH0aS4RpXOh9dwgKmU?authuser=0&hl=id&rclk=1
ChIJU80L2nbxaS4R_m_3MgI5JiM,Plataran Dharmawangsa,Plat*ran *har*a**n**a*pr*s***s a******ic**ndon****n c*i**ne**i*hin**n atm***h*r* ***J*v*n****r*y***y,False,3463,"Name: *e*b*ng Go****R*st***an*
Link: *ttp*:*****.**ogl**com*m*ps/s**r**/Ke*****+G**la*R*s*a**an**@-6.**7**1*9*9***9*5,10**8167*1*99*999***u*h**e*****l=id**nt*y**t*
Reviews: 2653 reviews

Name: Agney**R***a****t
Link: ****s*/**ww**o****.c**/m*ps/s**r*h/A****a+Restau*an*/*****49*486**9*99***,106.**3****9999*9**a******r=0***=id&**t*y=**u
Reviews: 2329 reviews

Name: N*ma** Di****
Link: **t*s*/***w.go**le*co**map*/sea***/*a*aaz*Din*****-6**4*1****06.**70****u*hu*e*=**h**id&e*t*y**t*
Reviews: 1949 reviews

Name: **rad**i*a
Link: ***p**//www.go*g*e.*o*/*a*s**e***h/*e*ad*li*a*@-6.2**6**4*1*6*8045*3*9*9*9**?a**h***r****l*****n**y=t**
Reviews: 1751 reviews

Name: **ue *a*m*n*
Link: **t**://ww*.go*gl*.**m/*a***se*rch/*l**+J******/@-6**4***6**1**.78***7***9*99*?*ut***e**0&h*=id&e**ry****
Reviews: 1441 reviews",*tt*s:/**w*.p***ar***c*m/v***es*di******lat***n*dha*ma*an*s*,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,*l***ran Dh*r***ang** (Pe******,*ttp**/*w**.*oo*le.*om/***s/co**rib***13*1**5*9******5**8,https:*/**5.*oo*l******on***t.*o****A*1*ip***a**k*r*i**T**wM*Wb*s7*3**o*roZN*9***w40***2*4*k-*o,Restoran Indonesia,Restoran Indonesia,4.6,1*.*0*2*.**,O**n**ll**a*s,*02*) *9**41**,"Jl. Dharmawangsa Raya No.6, RT.4/RW.2, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160","t*****ion*l, **mos*h*r*, **r*ikah**, *ee***g, *e**a, *i****i*ing, in****or, *u**ng, *al**, j***o",https://www.google.com/maps/place/Plataran+Dharmawangsa/data=!4m7!3m6!1s0x2e69f176da0bcd53:0x2326390232f76ffe!8m2!3d-6.2544188!4d106.8026785!16s%2Fg%2F11b60zp03x!19sChIJU80L2nbxaS4R_m_3MgI5JiM?authuser=0&hl=id&rclk=1
